"IR"	"Hall"	"acce"	"gyro"	"magn"	"FSR"	"cap"	"photoLight"	"bio"	"mic"	"ultrasound"	"bend"	"buttonsResistance"	"video"	"piezo"	"pressureFlow"	"fabric"
"IR"	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"Hall"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"acce"	1	0	16	4	2	3	0	0	0	1	0	1	1	1	0	0	1
"gyro"	0	0	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0
"magn"	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
"FSR"	2	0	3	0	0	11	1	0	0	0	0	1	1	0	1	0	3
"cap"	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0
"photoLight"	0	0	0	0	0	0	0	3	0	1	0	0	1	2	1	0	1
"bio"	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
"mic"	0	0	1	0	0	0	0	1	0	4	0	0	0	1	1	0	0
"ultrasound"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"bend"	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0
"buttonsResistance"	0	0	1	0	0	1	0	1	0	0	0	1	2	0	0	0	0
"video"	0	0	1	0	0	0	0	2	0	1	0	0	0	8	1	0	1
"piezo"	0	0	0	0	0	1	1	1	0	1	0	0	0	1	3	0	0
"pressureFlow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"fabric"	0	0	1	0	0	3	0	1	0	0	0	0	0	1	0	0	4
