IR,Hall,acce,gyro,magn,FSR,cap,photoLight,bio,mic,ultrasound,bend,buttonsResistance,video,piezo,pressureFlow,fabric
9,0,2,0,2,2,0,0,0,0,0,0,3,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,14,5,1,3,0,1,1,1,0,2,5,1,0,0,0
0,0,5,6,1,1,0,0,0,0,0,0,2,0,0,0,0
2,0,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0
2,0,3,1,1,7,0,0,0,1,0,1,3,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0,6,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0
3,1,5,2,0,3,0,0,0,1,0,1,11,0,1,0,0
1,0,1,0,1,0,0,1,1,1,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
